Bahan Pangan;2018;2019;2020;2021;2022;2023
Daging Sapi;9272,92;7835,21;7355,14;7830,73;7899,9;7998,2
Beras;313785,9;397693,52;411862,52;422539,21;428585,74;414680,48
Daging Ayam;26484,88;56504,35;56977,21;55174,08;75710,7;70285,4
Telur Ayam;111612,84;62845,28;107288,18;129785,12;168303;154407,4
Bawang Merah;14950;16999;18811;29809;22307;32953
Cabai Rawit;10147;10040;15052;15933;15198;21384
